法人・施設名,住所,アクセス,仕事内容,サービス形態,給与,給与の備考,待遇,勤務時間,休日,長期休暇/特別休暇,url
スターグループ株式会社スター保育園栄通園,北海道札幌市白石区栄通５丁目１番２０号バンブーハイツ１Ｆ,"北海道札幌市白石区栄通５丁目１番２０号バンブーハイツ１Ｆ
札幌市営地下鉄東西線 南郷７丁目駅から徒歩で13分
札幌市営地下鉄東西線 白石駅から徒歩で15分
札幌市営地下鉄東豊線 月寒中央駅から徒歩で19分","企業主導型保育所（０～５歳児、定員４０名）で、保育業務全般に従事していただきます。＊シフト制のため、自分の子どもの急なお休みもサポートしあって
調整します。気軽にご相談ください。＊子育て中、ブランクのある方の応募もお待ちしています。＊雇用開始日は令和６年４月１日の予定です",,"月給 217,000円 〜 239,000円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",就業時間内で実働８時間のシフト制勤務です。 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5786627/"
スターグループ株式会社「スター保育園西屯田通園」,北海道札幌市中央区南６条西１２丁目１３０２番２６南６条発成ビル,"北海道札幌市中央区南６条西１２丁目１３０２番２６南６条発成ビル
札幌市電山鼻線 西線６条駅から徒歩で4分
札幌市電山鼻線 西１５丁目駅から徒歩で8分
札幌市電山鼻線 西線９条旭山公園通駅から徒歩で10分","札幌市認可小規模Ａ型保育所（０～２歳児、定員１９名）で、保育業務全般に従事していただきます。＊シフト制のため、自分の子供の急なお休みもサポートしあって
調整します。気軽にご相談ください。＊子育て中、ブランクのある方も歓迎。＊令和６年４月１日勤務開始予定
勤務開始日ご相談ください『ＳＡＰＰＯＲＯ保育園ミーティング２０２３年９月参加予定』",,"月給 217,000円 〜 239,000円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",＊実働８時間のシフト制勤務です 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5786599/"
社会福祉法人幌北学園,北海道札幌市中央区大通西５丁目１－１桂和大通ビル３８９階,"北海道札幌市中央区大通西５丁目１－１桂和大通ビル３８９階
札幌市電山鼻線 西４丁目駅から徒歩で2分
札幌市電山鼻線 狸小路駅から徒歩で5分
札幌市営地下鉄東西線 大通駅から徒歩で4分","認可保育園にて、フリー保育士として２歳児クラスの担任のサポートしていただきます。＊平日５日、８：３０～１７：３０勤務＊早番・遅番はないので、子育て中の方やプライベート重視の方も
働きやすいポジションです！",,"月給 217,000円 〜 245,000円",,"通勤手当： 毎月 40,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時30分〜17時30分 休憩60分 時間外勤務：あり ,年間休日数 117日,,"
https://job-medley.com/cw/hw/5732866/"
公益財団法人鉄道弘済会与野本町駅前保育所（おひさま保育園）,埼玉県さいたま市中央区鈴谷９－５－１８,"埼玉県さいたま市中央区鈴谷９－５－１８
JR埼京線 与野本町駅から徒歩で4分
JR埼京線 南与野駅から徒歩で15分
JR京浜東北線 与野駅から徒歩で20分",０～５歳児（園児数８３名）の保育業務全般をおこなう保育士を募集します。２０歳台から６０歳台までの女性中心の職場ですが、職員双方が常に相手の立場や気持ちを思いやる事を忘れずにコミュニケーションを取っており、明るい雰囲気のなかで資格を活かせる職場です。園庭において、野菜作り、田植え等の食育にも力を入れており、どろんこ遊びなど子ども主体の保育を実践しています。,,"月給 216,960円 〜 235,475円",,通勤手当： マイカー通勤可否：不可 昇給： 賞与：あり ,(1)6時50分〜20時10分 休憩60分 時間外勤務：あり ,年間休日数 112日,,"
https://job-medley.com/cw/hw/5735639/"
社会福祉法人登毛福祉会なかよし村保育園,長崎県諫早市福田町４３２−１,"長崎県諫早市福田町４３２−１
JR長崎本線(鳥栖～長崎) 東諫早駅から徒歩で4分","○年齢別クラス単位の保育業務全般
・０歳〜６歳児の保育（園児１１０名、保育士２７名）
※就業時間は（１）〜（５）のシフト制
＊入職日は、相談に応じます。
＊パート就業も相談ください（時給９００円〜１，１００円）
◎面接の際には、ハローワークの紹介状が必要です。",,"月給 216,934円 〜 255,362円",,"通勤手当：月額 20,900円 20900 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)7時00分〜15時00分 (2)7時30分〜16時00分 (3)8時00分〜17時00分 （４）８：３０〜１７：３０　（５）９：００〜１８：００　＊シフト制 休憩60分 時間外勤務：あり ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5882877/"
社会福祉法人高知慈善協会児童養護施設博愛園,高知県香美市土佐山田町神通寺３７５－１,"高知県香美市土佐山田町神通寺３７５－１
ごめん・なはり線 立田駅から徒歩で22分","入所児童の養育及び生活指導＊用務で車を使用する場合は公用車（軽四等：ＡＴ車）を
使用します。＊児童数：３５名（満２歳から満１８歳まで）＊同職種スタッフ：１５名※雇用期間は雇入れ日～令和６年３月３１日まで。（更新の可能性あり）",,"月給 216,900円 〜 233,240円",,"通勤手当： 毎月 50,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)6時00分〜16時00分 (2)13時15分〜22時00分 (3)6時00分〜10時00分 シフトによる（１ヶ月を平均して週４０時間勤務）＊就業時間（４）宿直２２時～６時（月４～５回程度あり）＊（２）は休憩時間４５分（３）は休憩時間なし※就業時間は他の時間もあり。詳細は求人に関する特記事項参照 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5753687/"
社会福祉法人稲爪保育園,兵庫県明石市大蔵本町６番１０号,"兵庫県明石市大蔵本町６番１０号
山陽電鉄本線 人丸前駅から徒歩で4分
山陽電鉄本線 大蔵谷駅から徒歩で5分
山陽電鉄本線 山陽明石駅から徒歩で15分",※保育士資格の所持必須※経験により優遇いたします。※雇用期間：年度ごとの更新です。＊ハローワークを通じてご応募ください。,,"月給 216,900円 〜 220,140円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",シフト勤務　いくつかの勤務帯があります。 休憩60分 時間外勤務：なし ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5744164/"
社会福祉法人わか竹会,埼玉県所沢市元町６－１３,"埼玉県所沢市元町６－１３
西武池袋線 所沢駅から徒歩で10分
西武新宿線 所沢駅から徒歩で10分
西武池袋線 西所沢駅から徒歩で12分","・クラス担任又は補佐・散歩補充
・給食配膳
・おむつ交換等、通常の保育士業務",,"月給 216,812円 〜 272,620円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)8時30分〜17時30分 (2)7時00分〜16時00分 (3)9時30分〜18時30分 （４）１０：００～１９：００正職員シフト制で早遅８時間勤務 休憩60分 時間外勤務：なし ,年間休日数 105日,,"
https://job-medley.com/cw/hw/5862548/"
社会福祉法人陽翆会平和ヶ丘保育園,宮崎県宮崎市池内町古門９９１,"宮崎県宮崎市池内町古門９９１
JR日豊本線(佐伯～鹿児島中央) 蓮ケ池駅から車で7分","乳幼児の保育全般のお仕事です。
・トイレ、食事などの世話
・制作、清掃
・乳幼児の書類作成（カリキュラム、児童票、日誌など）
＊園児数：現在８０名
【保育】",,"月給 216,800円",,"通勤手当：月額 6,500円 6500 マイカー通勤可否：可 駐車場 あり 昇給：なし 賞与：あり ",＊就業時間は相談に応じます。 休憩60分 時間外勤務：なし ,年間休日数 125日,,"
https://job-medley.com/cw/hw/5742044/"
社会福祉法人福島県福祉事業協会いわき事業所,福島県いわき市四倉町細谷字御厩１３－３,"福島県いわき市四倉町細谷字御厩１３－３
JR常磐線(いわき～仙台) 草野駅から徒歩で25分",障がい児の支援業務を行っていただきます。主に、作業訓練支援や生活介護支援業務となります。＊利用者２５名＊担当制で１人４名程度の支援を行います。,,"月給 216,600円 〜 355,000円",,"通勤手当： 毎月 24,500円まで マイカー通勤可否：可 昇給： 賞与：あり ",(1)7時00分〜16時00分 (2)8時15分〜17時15分 (3)9時30分〜18時30分 （４）１３：００～９：００　休憩４時間　１６時間勤務（１）～（４）の交替制 休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5751946/"
合同会社ＳＯＬＬＡ,神奈川県相模原市南区相武台１−２５−１,"神奈川県相模原市南区相武台１−２５−１
小田急線 相武台前駅から徒歩で5分","小規模保育事業Ａ型
定員１８名
０歳児〜２歳児までの保育所においての保育全般
＊保有資格は、保育士か正看護師いずれかの資格があれば応募可で
す。",,"月給 216,600円 〜 240,100円",,"通勤手当：月額 15,000円 15000 マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)7時30分〜16時30分 (2)8時30分〜17時30分 (3)9時30分〜18時30分 主な勤務パターンとして延長保育の子どもがいない場合上記３パターンとなります。 休憩60分 時間外勤務：あり ,年間休日数 118日,,"
https://job-medley.com/cw/hw/5747018/"
